Betweenness(Weight),shared name
47603.1960376753,TP53
33444.3827278846,RB1
29226.5009271098,MDM2
27712.008924058,CDKN2A
26469.0443838458,CCND1
13759.1182940332,MYC
11569.2837998174,PTEN
9225.62023531643,EGFR
9053.3417361231,PIK3CA
7034.84887549097,CDKN2B
6045.02068783407,NF1
5279.50286992873,NRAS
5038.60852859919,ERBB2
4953.62820135853,CDKN1A
4627.2196108156,ATM
4470.0780414417,MAPK1
4447.89595135571,AKT1
4286.39256460195,MET
4033.65740210105,CDH1
3954.37976778421,CTNNB1
3892.64363735661,MSH2
3684.84703228332,MTOR
3627.0942907007,TERT
3213.90960053018,TOP2A
2464.39456733443,BRAF
2295.92100749554,E2F1
2292.31767446221,PDGFRA
2181.25595238095,NCOA2
2072.79784912861,CCNE1
2032.1841325553,ESR1
