source,target,weight
CDK4,PDGFRA,19
CCND1,CDK4,226
CCND1,CDKN1A,41
CCND1,EGFR,5
CCND1,MDM2,13
CDK4,CDKN1A,55
CDK4,EGFR,55
CDK4,MDM2,201
CDKN1A,EGFR,2
CDKN1A,MDM2,2
EGFR,MDM2,14
BCL2,BCL6,1
BCL2,CCND1,7
BCL2,MYC,2
BCL2,MYCN,1
BCL2,RB1,4
BCL2,TP53,4
BCL6,CCND1,1
BCL6,MYC,1
BCL6,MYCN,1
BCL6,RB1,1
BCL6,TP53,1
CCND1,MYC,13
CCND1,MYCN,1
CCND1,RB1,55
CCND1,TP53,29
MYC,MYCN,3
MYC,RB1,10
MYC,TP53,10
MYCN,RB1,1
MYCN,TP53,1
RB1,TP53,32
CDK6,CDKN2A,108
CDK4,CDKN2A,240
CCND2,CDK4,28
CCND2,CDKN2A,9
CCND2,CDKN2B,5
CCND2,MDM2,1
CCND2,RB1,6
CDK4,CDKN2B,51
CDK4,RB1,177
CDKN2A,CDKN2B,59
CDKN2A,MDM2,29
CDKN2A,RB1,74
CDKN2B,MDM2,6
CDKN2B,RB1,18
MDM2,RB1,16
CDK4,CDK6,1335
CCND1,CCND2,22
CCND1,CDK6,124
CCND2,CDK6,22
CDK4,MYCN,6
CDK4,PAX7,1
MDM2,MYCN,3
MDM2,PAX7,1
MYCN,PAX7,1
CDK4,HRAS,2
CDK4,PML,1
CDK4,TP53,106
CDKN2A,EGFR,20
CDKN2A,HRAS,3
CDKN2A,PML,1
CDKN2A,TP53,54
EGFR,HRAS,2
EGFR,PML,1
EGFR,RB1,5
EGFR,TP53,18
HRAS,PML,1
HRAS,RB1,2
HRAS,TP53,1
PML,RB1,1
PML,TP53,1
CDK4,CDKN2C,10
CDK4,CDKN2D,6
CDK6,CDKN2B,35
CDK6,CDKN2C,8
CDK6,CDKN2D,5
CDKN2A,CDKN2C,6
CDKN2A,CDKN2D,4
CDKN2B,CDKN2C,5
CDKN2B,CDKN2D,2
CDKN2C,CDKN2D,3
CDK4,INK4A,1
CDK6,INK4A,1
CDKN2A,INK4A,1
CCND1,CDKN2A,75
CDKN1A,CDKN2A,14
CDKN1A,RB1,13
CDKN1A,TP53,19
CDK6,MDM2,11
CDK6,RB1,116
CDK6,TP53,52
MDM2,TP53,32
CDK4,PTEN,39
CDKN2A,PTEN,21
EGFR,PTEN,7
PTEN,RB1,10
CDK4,VEGFA,3
EGFR,VEGFA,2
CDKN2A,p15INK4B,1
CDKN2B,p15INK4B,1
CCND1,CDC37,1
CCND1,RAF1,1
CCND1,SRC,2
CDC37,CDK4,1
CDC37,MYC,1
CDC37,RAF1,1
CDC37,SRC,1
CDK4,MYC,29
CDK4,RAF1,4
CDK4,SRC,2
MYC,RAF1,2
MYC,SRC,1
RAF1,SRC,1
CDK4,DMBT1,1
CDK4,NF2,3
CDKN2A,DMBT1,1
CDKN2A,NF2,2
DMBT1,EGFR,1
DMBT1,NF2,1
DMBT1,PTEN,1
DMBT1,TP53,1
EGFR,NF2,1
NF2,PTEN,2
NF2,TP53,1
PTEN,TP53,20
CDK4,CHOP,2
CDK4,HMGIC,2
CHOP,HMGIC,1
CHOP,MDM2,2
HMGIC,MDM2,2
CCND2,CCNE,1
CCND2,CDKN1A,3
CCND2,CDKN1B,3
CCND2,CDKN1C,2
CCND2,E2F1,2
CCND2,MYC,2
CCNE,CDK4,6
CCNE,CDKN1A,1
CCNE,CDKN1B,1
CCNE,CDKN1C,1
CCNE,CDKN2A,2
CCNE,E2F1,2
CCNE,MYC,2
CCNE,RB1,2
CDK4,CDKN1B,28
CDK4,CDKN1C,2
CDK4,E2F1,16
CDKN1A,CDKN1B,16
CDKN1A,CDKN1C,1
CDKN1A,E2F1,3
CDKN1A,MYC,5
CDKN1B,CDKN1C,1
CDKN1B,CDKN2A,11
CDKN1B,E2F1,2
CDKN1B,MYC,1
CDKN1B,RB1,5
CDKN1C,CDKN2A,2
CDKN1C,E2F1,1
CDKN1C,MYC,1
CDKN1C,RB1,1
CDKN2A,E2F1,6
CDKN2A,MYC,7
E2F1,MYC,1
E2F1,RB1,14
CDK4,DES,1
DES,MDM2,1
DES,TP53,1
CDK4,GLI,6
GLI,MDM2,6
CDK4,FOS,2
FOS,MDM2,1
FOS,MYC,1
FOS,RB1,1
FOS,TP53,1
MDM2,MYC,7
CDKN2B,TP53,15
CCND2,CCND3,14
CCND2,CDKN2D,1
CCND3,CDK4,25
CCND3,CDK6,24
CCND3,CDKN1C,1
CCND3,CDKN2A,6
CCND3,CDKN2D,1
CDK6,CDKN1C,1
CDKN1C,CDKN2D,1
GLI,MYC,1
GLI,MYCN,1
GLI,PDGFRA,1
MDM2,PDGFRA,7
MYC,PDGFRA,1
MYCN,PDGFRA,1
CDK,CDK4,9
CDK,CDK6,10
CDK,CDKN2A (ARF),1
CDK,CDKN2A (INK4a),1
CDK,CDKN2A (p14),1
CDK,CDKN2A (p16),1
CDK,E2F,1
CDK,RB1,3
CDK4,CDKN2A (ARF),1
