Source,Target,Pair
AKT1,"MCF7, T47D",Gene-Cell type
BRAF,Melanoma cells,Gene-Cell type
BRAF,Braf(V600E) melanoma cells,Gene-Cell type
BRAF,Melanoma cell lines,Gene-Cell type
CCND1,Neuroblasts,Gene-Cell type
CCND1,intestinal epithelial cells,Gene-Cell type
CCND1,HEK293T cells,Gene-Cell type
CCND1,Circulating tumor cells (CTCs),Gene-Cell type
CCND1,Neuronal cells,Gene-Cell type
CCND1,Neuroblastoma cells,Gene-Cell type
CCND1,MSCs,Gene-Cell type
CCND1,Tumor cells,Gene-Cell type
CCND1,Glioma cells,Gene-Cell type
CCND1,HaCaT cells,Gene-Cell type
CCND1,Mucosal melanoma,Gene-Cell type
CCND1,Testicular cells,Gene-Cell type
CCND1,A549 cells,Gene-Cell type
CCND1,TE-1 cells,Gene-Cell type
CCND1,Chicken PGCs,Gene-Cell type
CCND1,Myeloma cells,Gene-Cell type
CCND1,"MCF-7, MDA-MB-231",Gene-Cell type
CCND1,Placental explants,Gene-Cell type
CCND1,HGC-27 cells,Gene-Cell type
CCND1,Epidermal stem cells,Gene-Cell type
CCND1,Breast cancer cell lines,Gene-Cell type
CCND1,"OVCAR-3, Caov-4",Gene-Cell type
CCND1,Myoblasts,Gene-Cell type
CCND1,OSCC cells,Gene-Cell type
CCND1,breast cancer cells,Gene-Cell type
CCND1,Mesenchymal stem cells,Gene-Cell type
CCND1,"OVCAR-3, Caov-4 cell lines",Gene-Cell type
CCND1,Cancer cells,Gene-Cell type
CCND1,Ovarian cancer cells,Gene-Cell type
CCND1,"COS cells, osteoprogenitor C3H10T1/2 cells, chondrogenic RCJ3.1C5.18 cells",Gene-Cell type
CCND1,"COS cells, RCJ3.1C5.18 cells",Gene-Cell type
CCND1,Mammalian cells,Gene-Cell type
CCND1,RB pathway,Gene-Cell type
CCND1,MGC-803 cells,Gene-Cell type
CCND1,B cells,Gene-Cell type
CCND1,multiciliated cells,Gene-Cell type
CDKN1A,Glioma cells,Gene-Cell type
CDKN1A,Testicular cells,Gene-Cell type
CDKN1A,TE-1 cells,Gene-Cell type
CDKN1A,Myoblasts,Gene-Cell type
CDKN1A,MEFs,Gene-Cell type
CDKN1A,PDCs,Gene-Cell type
CDKN1A,Proliferating cells,Gene-Cell type
CDKN1A,Fibroblasts,Gene-Cell type
CDKN2A,"Cyclin D-CDK4,CDK6",Gene-Cell type
CDKN2A,Cyclin D1,Gene-Cell type
CDKN2A,Leiomyosarcomatous cells,Gene-Cell type
CDKN2A,Rhabdomyosarcomatous cells,Gene-Cell type
CDKN2A,Astrocytes,Gene-Cell type
CDKN2A,MCF-7 cells,Gene-Cell type
CDKN2A,Cell lines,Gene-Cell type
CDKN2A,Tumor cells,Gene-Cell type
CDKN2A,CMT cells,Gene-Cell type
CDKN2A,Mucosal melanoma,Gene-Cell type
CDKN2A,A549 cells,Gene-Cell type
CDKN2A,Melanoma cell lines,Gene-Cell type
CDKN2A,Carcinoma cells,Gene-Cell type
CDKN2A,MEFs,Gene-Cell type
CDKN2A,Primary human melanocytes,Gene-Cell type
CDKN2A,B-cell precursors,Gene-Cell type
CDKN2A,Glioma cell lines,Gene-Cell type
CDKN2A,T cells,Gene-Cell type
CDKN2A,breast cancer cells,Gene-Cell type
CDKN2A,keratinocytes,Gene-Cell type
CDKN2A,ECFCs,Gene-Cell type
CDKN2A,NIH3T3 fibroblasts,Gene-Cell type
CDKN2A,Cervical cancer cell lines,Gene-Cell type
CDKN2A,Primary cells,Gene-Cell type
CDKN2A,HCC cells,Gene-Cell type
CDKN2A,Gallbladder cells,Gene-Cell type
CDKN2A,Proliferating cells,Gene-Cell type
CDKN2A,Mouse MEL erythroleukemia cells,Gene-Cell type
CDKN2A,Fibroblasts,Gene-Cell type
CDKN2A,Urothelial cells,Gene-Cell type
CDKN2A,retinoblastoma,Gene-Cell type
CDKN2A,HAOSMCs,Gene-Cell type
CDKN2A,Cyclin D-dependent kinases,Gene-Cell type
CDKN2A,B cells,Gene-Cell type
CDKN2B,"Cyclin D-CDK4,CDK6",Gene-Cell type
CDKN2B,granulocyte-monocyte precursors,Gene-Cell type
CDKN2B,Melanoma cell lines,Gene-Cell type
CDKN2B,CD34+ progenitors,Gene-Cell type
CDKN2B,T cells,Gene-Cell type
CDKN2B,Glioma cells,Gene-Cell type
CDKN2B,B cells,Gene-Cell type
E2F1,Glioma cells,Gene-Cell type
E2F1,Beta cells,Gene-Cell type
E2F1,Autophagy regulators,Gene-Cell type
EGFR,GBM cells,Gene-Cell type
EGFR,Glioblastoma cells,Gene-Cell type
EGFR,"MCF7, T47D",Gene-Cell type
EGFR,Chordoma cells,Gene-Cell type
ERBB2,Glioblastoma cells,Gene-Cell type
ERBB2,"MCF7, T47D",Gene-Cell type
ESR1,RB-deficient cells,Gene-Cell type
ESR1,Luminal A BC cells,Gene-Cell type
ESR1,MCF7,Gene-Cell type
ESR1,"Breast cancer cell lines, PDX models",Gene-Cell type
ESR1,MCF-7 breast cancer cells,Gene-Cell type
MDM2,hMSCs,Gene-Cell type
MDM2,Lymphoid cells,Gene-Cell type
MDM2,stromal cells,Gene-Cell type
MDM2,Tumor cells,Gene-Cell type
MDM2,Astrocytes,Gene-Cell type
MDM2,"PDX models, PDCs",Gene-Cell type
