SN,KP,PMID,Triple,Category,Gene Symbol,Cell type,Disease,Drugs,Pathway,Symptoms,Patient characteristics,Expression level,Markers,Environmental factors,Metabolites,Fact or Inference,一级标签,二级标签,三级标签,四级标签,五级标签,最具体的标签描述
205,KP1,11407596,CDK4#positively regulates#proliferation and cell cycle progression,Mechanism of Action,CDK4,-,-,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.1,1.4.1.2,-,细胞周期进程
6201,KP1,11407596,CDK6#positively regulates#proliferation and cell cycle progression,Mechanism of Action,CDK6,-,-,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.1,1.4.1.2,-,细胞周期进程
6364,KP1,11407596,p53#negatively regulates#proliferation and cell cycle progression,Mechanism of Action,TP53,-,-,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.1,1.4.1.3,-,增殖抑制机制
5085,KP1,11407596,p16INK4a#negatively regulates#proliferation and cell cycle progression,Mechanism of Action,CDKN2A,-,-,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.1,1.4.1.3,-,增殖抑制机制
7611,KP1,11407596,p14ARF#negatively regulates#proliferation and cell cycle progression,Mechanism of Action,CDKN2A,-,-,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.1,1.4.1.3,-,增殖抑制机制
4519,KP1,11407596,p15INK4b#negatively regulates#proliferation and cell cycle progression,Mechanism of Action,CDKN2B,-,-,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.1,1.4.1.3,-,增殖抑制机制
7452,KP1,11407596,Rb#negatively regulates#proliferation and cell cycle progression,Mechanism of Action,RB1,-,-,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.1,1.1.1.1,-,RB蛋白磷酸化
7792,KP1,11407596,PTEN#negatively regulates#proliferation and cell cycle progression,Mechanism of Action,PTEN,-,-,-,-,-,-,-,-,-,-,Fact,1,1.3,1.3.1,1.3.1.1,-,信号交叉激活
3703,KP1,18413728,Genomic aberrations in CDK4#indicate#dysregulation of the G1 entry checkpoint in neuroblastoma,Cancer Association,CDK4,-,Neuroblastoma,-,G1 entry checkpoint,-,-,-,-,-,-,Fact,2,2.2,2.2.2,2.2.2.1,-,G1/S检查点失控
2701,KP1,18413728,Genomic aberrations in CDK6#indicate#dysregulation of the G1 entry checkpoint in neuroblastoma,Cancer Association,CDK6,-,Neuroblastoma,-,G1 entry checkpoint,-,-,-,-,-,-,Fact,2,2.2,2.2.2,2.2.2.1,-,G1/S检查点失控
4393,KP1,18413728,Cyclin D1#is overexpressed in#primary neuroblastic tumors,Expression Patterns,CCND1,-,Neuroblastic tumors,-,-,-,-,upregulated,-,-,-,Fact,1,1.1,1.1.2,1.1.2.1,-,Cyclin D-CDK4复合物
2997,KP1,18413728,Cyclin D1 overexpression#correlates with#histologic subgroups,Expression Patterns,CCND1,-,-,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.2,1.1.2.1,-,Cyclin D-CDK4复合物
3121,KP1,20653773,CDKN2A alterations#were found in#seven melanoma kindred,Cancer Association,CDKN2A,-,Melanoma,-,-,-,-,-,-,-,-,Fact,5,5.3,5.3.2,5.3.2.1,-,CDKN2A缺失
4059,KP1,33049397,PIK3CA mutations#contribute to#endocrine resistance in breast cancer,Mechanisms of Resistance,PIK3CA,-,Breast cancer,-,PI3K pathway,-,-,-,-,-,-,Fact,2,2.1,2.1.2,2.1.2.1,-,PI3K/AKT通路异常
3727,KP1,33049397,"PIK3CA#is frequently mutated in#HR+, HER2- advanced breast cancer",Cancer Association,PIK3CA,-,Breast cancer,-,-,-,-,-,-,-,-,Fact,7,7.1,7.1.1,7.1.1.4,-,PIK3CA突变
3366,KP1,33049397,Mechanisms of resistance to CDK4/6i#have been identified in#breast cancer,Mechanisms of Resistance,"CDK4,CDK6",-,Breast cancer,-,-,-,-,-,-,-,-,Fact,2,2.1,2.1.2,2.1.2.4,-,替代性生存通路
5376,KP1,33049397,PIK3CA mutations#are associated with#Ki67 expression in primary lesions,Expression Patterns,PIK3CA,-,-,-,-,-,-,-,-,-,-,Fact,7,7.3,7.3.1,7.3.1.1,7.3.1.1.1,Ki67指数
6831,KP1,32913968,Abiraterone-resistant tumors#harbor#alterations in AR and MYC,Mechanisms of Resistance,"AR,MYC",-,-,Abiraterone,-,-,-,-,-,-,-,Fact,2,2.1,2.1.2,2.1.2.4,-,替代性生存通路
6815,KP1,32913968,Enzalutamide-resistant tumors#gain#alterations in CDKN2A,Mechanisms of Resistance,CDKN2A,-,-,Enzalutamide,-,-,-,-,-,-,-,Fact,2,2.1,2.1.1,2.1.1.2,-,RB1基因丢失
5398,KP1,32913968,Enzalutamide-resistant tumors#gain#amplifications in CDK6,Mechanisms of Resistance,CDK6,-,-,Enzalutamide,-,-,-,-,-,-,-,Fact,2,2.1,2.1.1,2.1.1.1,-,CDK4/6基因扩增
818,KP1,32913968,CDK4/6 amplifications#promote#enzalutamide resistance in CRPC,Mechanisms of Resistance,"CDK4,CDK6",-,Castration-resistant prostate cancer (CRPC),Enzalutamide,-,-,-,-,-,-,-,Inference,2,2.1,2.1.1,2.1.1.1,-,CDK4/6基因扩增
5444,KP1,10733595,Oncogenic Ras#induces#p15INK4b expression,Regulation,p15INK4B,-,-,-,Ras pathway,-,-,upregulated,-,-,-,Fact,1,1.2,1.2.2,1.2.2.1,-,转录因子网络
4750,KP1,10733595,p15INK4b#is frequently inactivated by#homozygous deletion in tumors,Cancer Association,CDKN2B,-,Tumors,-,-,-,-,silenced,-,-,-,Fact,5,5.3,5.3.2,5.3.2.1,-,CDKN2A缺失
884,KP1,10733595,p15INK4b#is inactivated by#hypermethylation in hematopoietic malignancies,Cancer Association,CDKN2B,-,Hematopoietic malignancies,-,-,-,-,silenced,-,-,-,Fact,1,1.5,1.5.1,1.5.1.2,-,DNA甲基化
4145,KP1,10733595,Ras-dependent induction of p15INK4b and p16INK4a#is mediated by#Raf-Mek-Erk pathway,Pathway & Network Categories,"CDKN2B,CDKN2A",-,-,-,Raf-Mek-Erk pathway,-,-,-,-,-,-,Fact,1,1.3,1.3.2,1.3.2.1,-,RAS/RAF/MEK/ERK级联
2409,KP1,10939591,CDKN2A and CDKN2B#are frequently homozygously deleted in#glioblastomas,Cancer Association,"CDKN2A,CDKN2B",-,Glioblastomas,-,-,-,-,silenced,-,-,-,Fact,5,5.3,5.3.2,5.3.2.1,-,CDKN2A缺失
2486,KP1,8724524,p16INK4a and p15INK4b#inhibit#cyclin D-CDK4 and -CDK6 complexes,Mechanism of Action,"CDKN2A,CDKN2B","Cyclin D-CDK4,CDK6",-,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.2,1.1.2.3,-,复合物活性调节
1282,KP1,8724524,p16INK4a and p15INK4b#are deleted in#human cell lines and fresh solid tumors,Cancer Association,"CDKN2A,CDKN2B",-,Solid tumors,-,-,-,-,silenced,-,-,-,Fact,5,5.3,5.3.2,5.3.2.1,-,CDKN2A缺失
2692,KP1,8724524,Point mutations in p16INK4a#are sequenced in#familial melanomas and digestive cancers,Cancer Association,CDKN2A,-,"Melanomas,Digestive cancers",-,-,-,-,-,-,-,-,Fact,5,5.5,5.5.1,5.5.1.1,-,错义突变
1473,KP1,8724524,p16ink4a deletions#occur more frequently than#p15ink4b deletions in hematological malignancies,Cancer Association,"CDKN2A,CDKN2B",-,"ALL, CML, ATL",-,-,-,-,-,-,-,-,Fact,5,5.3,5.3.2,5.3.2.1,-,CDKN2A缺失
3802,KP1,8724524,"Homozygous deletions of p16ink4a and p15ink4b#are associated with#T-lineage, 9p abnormalities, and prognostic factors in ALL",Cancer Association,"CDKN2A,CDKN2B",-,ALL,-,-,-,-,-,-,-,-,Fact,5,5.3,5.3.2,5.3.2.1,-,CDKN2A缺失
