Source,Target,Weight
CDK4,CDK6,23
CDK4,FSIP1,1
CDK6,FSIP1,1
BRCA,CDK4,1
BRCA,CDK6,1
ER,PR,1
ER,HER2,1
ER,FOXC1,1
CDK4,ER,1
CDK6,ER,1
HER2,PR,1
FOXC1,PR,1
CDK4,PR,1
CDK6,PR,1
FOXC1,HER2,1
CDK4,HER2,1
CDK6,HER2,1
CDK4,FOXC1,1
CDK6,FOXC1,1
CDK4,RB1,1
CDK6,RB1,1
RB,RB1,1
CDK4,RB,1
CDK6,RB,1
PLK1,SAMD5,1
EZH2,SMAD2,1
MIR3613,SMAD2,1
EZH2,MIR3613,1
ACAA1,CDK4,1
ACAA1,CDK6,1
CREBBP,FOXM1,1
ESR1,PGR,1
ERBB2,ESR1,1
BRCA1,ESR1,1
BRCA2,ESR1,1
AR,ESR1,1
ERBB2,PGR,1
BRCA1,PGR,1
BRCA2,PGR,1
AR,PGR,1
BRCA1,ERBB2,1
BRCA2,ERBB2,1
AR,ERBB2,1
BRCA1,BRCA2,2
AR,BRCA1,1
AR,BRCA2,1
CDK4,MYC,1
CDK4,CTNNB1,1
CDK6,MYC,1
CDK6,CTNNB1,1
CTNNB1,MYC,1
ACAA1,RB1,1
