id,label
ABCB1,ABCB1
ABCB4,ABCB4
ABL1,ABL1
ACAA1,ACAA1
ACACA,ACACA
ACC,ACC
ACD,ACD
AIB1,AIB1
AKT,AKT
AKT1,AKT1
AKT2,AKT2
AKT3,AKT3
ALK,ALK
ALL,ALL
AM,AM
AMBRA1,AMBRA1
AMPK,AMPK
AP-1,AP-1
APC,APC
APC/C,APC/C
APOBEC,APOBEC
AR,AR
ARID1A,ARID1A
ARID1B,ARID1B
ARID2,ARID2
ARID5B,ARID5B
ARSA,ARSA
ASS1,ASS1
ATF1,ATF1
ATF3,ATF3
ATM,ATM
ATR,ATR
ATRX,ATRX
AURKA,AURKA
AURKB,AURKB
AVIL,AVIL
AXIN2,AXIN2
AXL,AXL
B,B
BAP1,BAP1
BAX,BAX
BCAS1,BCAS1
BCAT1,BCAT1
BCL2,BCL2
BCL2L1,BCL2L1
BCL6,BCL6
BCOR,BCOR
BCR,BCR
BCR-ABL1,BCR-ABL1
BFU-E,BFU-E
BHD,BHD
BIRC5,BIRC5
BMI1,BMI1
BMP2,BMP2
BRAF,BRAF
BRCA,BRCA
BRCA1,BRCA1
BRCA2,BRCA2
BRD1,BRD1
BRD4,BRD4
BRIP1,BRIP1
BTC,BTC
BTK,BTK
C/EBP-伪,C/EBP-伪
CAMKK2,CAMKK2
CARD11,CARD11
CARF,CARF
CASP10,CASP10
CASP2,CASP2
CASP3,CASP3
CASP7,CASP7
CASP8,CASP8
CASP9,CASP9
CBL,CBL
CCL2,CCL2
CCNA1,CCNA1
CCNA2,CCNA2
CCNB1,CCNB1
CCNB2,CCNB2
CCND,CCND
CCND1,CCND1
CCND2,CCND2
CCND3,CCND3
CCNE,CCNE
CCNE1,CCNE1
CCNE2,CCNE2
CCNEB1,CCNEB1
CCNF,CCNF
CCNG2,CCNG2
CD133,CD133
CD19,CD19
CD24,CD24
CD274,CD274
CD30,CD30
CD34,CD34
CD4,CD4
CD44,CD44
CD8,CD8
CD8A,CD8A
CDC2,CDC2
CDC25B,CDC25B
CDC25C,CDC25C
CDC37,CDC37
CDC42,CDC42
CDC6,CDC6
CDC73,CDC73
CDH1,CDH1
CDH13,CDH13
CDH2,CDH2
CDK,CDK
CDK inhibitors,CDK inhibitors
CDK1,CDK1
CDK12,CDK12
CDK13,CDK13
CDK19,CDK19
CDK2,CDK2
CDK3,CDK3
CDK4,CDK4
CDK4/6,CDK4/6
CDK5,CDK5
CDK6,CDK6
CDK7,CDK7
CDK8,CDK8
CDK9,CDK9
CDKN,CDKN
CDKN1A,CDKN1A
CDKN1B,CDKN1B
CDKN1C,CDKN1C
CDKN2,CDKN2
CDKN2A,CDKN2A
CDKN2A (ARF),CDKN2A (ARF)
CDKN2A (INK4a),CDKN2A (INK4a)
CDKN2A (p14),CDKN2A (p14)
CDKN2A (p16),CDKN2A (p16)
CDKN2A/B,CDKN2A/B
CDKN2B,CDKN2B
CDKN2BAS,CDKN2BAS
CDKN2C,CDKN2C
CDKN2D,CDKN2D
CDKN3,CDKN3
CDKs,CDKs
CDON,CDON
CEBPB,CEBPB
CETN2,CETN2
CFU-E,CFU-E
CFU-GM,CFU-GM
CHD1,CHD1
CHEK1,CHEK1
CHEK2,CHEK2
CHK1,CHK1
CHK2,CHK2
CHOP,CHOP
CKS2,CKS2
CMYC,CMYC
CNKSR2,CNKSR2
COL11A1,COL11A1
COMT,COMT
COPS3,COPS3
COX2,COX2
CPM,CPM
CPVL,CPVL
CREBBP,CREBBP
CSF1R,CSF1R
CSN5,CSN5
CTCF,CTCF
CTCFL,CTCFL
CTDSP2,CTDSP2
CTLA4,CTLA4
CTNNA1,CTNNA1
CTNNB,CTNNB
CTNNB1,CTNNB1
CTSB,CTSB
CUL3,CUL3
CXCR2,CXCR2
CYCS,CYCS
CYLD,CYLD
CYP11A1,CYP11A1
CYP17A1,CYP17A1
CYP19A1,CYP19A1
CYP1B1,CYP1B1
CYP24,CYP24
CYP3A4,CYP3A4
Caspase,Caspase
Cdc25B,Cdc25B
Cyclin D1,Cyclin D1
CyclinD1,CyclinD1
DAB2,DAB2
DAPK1,DAPK1
DAXX,DAXX
DCC,DCC
DCTN2,DCTN2
DDIT3,DDIT3
DDR1,DDR1
DDR2,DDR2
DDX15,DDX15
DES,DES
DIABLO,DIABLO
DICER1,DICER1
DLC1,DLC1
DMBT1,DMBT1
DMTF1,DMTF1
DNA repair genes,DNA repair genes
DNM3,DNM3
DNMT1,DNMT1
DOG1,DOG1
DR5,DR5
DRAM,DRAM
DTX3,DTX3
E2F,E2F
E2F1,E2F1
E2F2,E2F2
E2F3,E2F3
E2F4,E2F4
E2F5,E2F5
E2F7,E2F7
EED,EED
EFGR,EFGR
EGF,EGF
EGFR,EGFR
EGR1,EGR1
EIF4E,EIF4E
EIF4EBP1,EIF4EBP1
ELK1,ELK1
EML4,EML4
ENO1,ENO1
ENO2,ENO2
ENO3,ENO3
EP300,EP300
EPCAM,EPCAM
EPHA1,EPHA1
EPHB4,EPHB4
EPHB6,EPHB6
ER,ER
ERBB,ERBB
ERBB2,ERBB2
ERBB3,ERBB3
ERBB4,ERBB4
ERCC1,ERCC1
ERG,ERG
ERK,ERK
ERK1,ERK1
ERK1/2,ERK1/2
ERK2,ERK2
ESR1,ESR1
ETV1,ETV1
ETV4,ETV4
ETV5,ETV5
EWSR1,EWSR1
EWSR1-DDIT3,EWSR1-DDIT3
EXT1,EXT1
EXT2,EXT2
EZH2,EZH2
F9,F9
FABP7,FABP7
FAK,FAK
FAT1,FAT1
FAT3,FAT3
FAT4,FAT4
FBXO4,FBXO4
FBXW7,FBXW7
FGF,FGF
FGF19,FGF19
FGF3,FGF3
FGF4,FGF4
FGFR,FGFR
FGFR1,FGFR1
FGFR2,FGFR2
FGFR3,FGFR3
FGFR4,FGFR4
FH,FH
FLI1,FLI1
FLT1,FLT1
FLT3,FLT3
FLT4,FLT4
FOS,FOS
FOXA1,FOXA1
FOXC1,FOXC1
FOXM1,FOXM1
FOXO,FOXO
FOXO1,FOXO1
FOXO3,FOXO3
FOXO3A,FOXO3A
FRS2,FRS2
FSIP1,FSIP1
FUS,FUS
