id,label,pmid_count
ABCB1,ABCB1,5
ABCB4,ABCB4,1
ABL1,ABL1,1
ACAA1,ACAA1,1
ACACA,ACACA,1
ACC,ACC,2
ACD,ACD,2
AIB1,AIB1,1
AKT,AKT,26
AKT1,AKT1,34
AKT2,AKT2,1
AKT3,AKT3,3
ALK,ALK,10
ALL,ALL,1
AM,AM,1
AMBRA1,AMBRA1,1
AMPK,AMPK,2
AP-1,AP-1,1
APC,APC,6
APC/C,APC/C,1
APOBEC,APOBEC,1
AR,AR,17
ARID1A,ARID1A,4
ARID1B,ARID1B,1
ARID2,ARID2,2
ARID5B,ARID5B,1
ARSA,ARSA,1
ASS1,ASS1,1
ATF1,ATF1,1
ATF3,ATF3,1
ATM,ATM,11
ATR,ATR,4
ATRX,ATRX,6
AURKA,AURKA,8
AURKB,AURKB,2
AVIL,AVIL,1
AXIN2,AXIN2,1
AXL,AXL,2
B,B,1
BAP1,BAP1,8
BAX,BAX,6
BCAS1,BCAS1,1
BCAT1,BCAT1,1
BCL2,BCL2,17
BCL2L1,BCL2L1,3
BCL6,BCL6,1
BCOR,BCOR,1
BCR,BCR,1
BCR-ABL1,BCR-ABL1,1
BFU-E,BFU-E,1
BHD,BHD,1
BIRC5,BIRC5,2
BMI1,BMI1,2
BMP2,BMP2,1
BRAF,BRAF,53
BRCA,BRCA,1
BRCA1,BRCA1,25
BRCA2,BRCA2,23
BRD1,BRD1,1
BRD4,BRD4,1
BRIP1,BRIP1,1
BTC,BTC,1
BTK,BTK,1
C/EBP-伪,C/EBP-伪,1
CAMKK2,CAMKK2,1
CARD11,CARD11,1
CARF,CARF,1
CASP10,CASP10,1
CASP2,CASP2,1
CASP3,CASP3,6
CASP7,CASP7,2
CASP8,CASP8,2
CASP9,CASP9,2
CBL,CBL,1
CCL2,CCL2,1
CCNA1,CCNA1,2
CCNA2,CCNA2,4
CCNB1,CCNB1,10
CCNB2,CCNB2,2
CCND,CCND,2
CCND1,CCND1,256
CCND2,CCND2,34
CCND3,CCND3,30
CCNE,CCNE,6
CCNE1,CCNE1,31
CCNE2,CCNE2,2
CCNEB1,CCNEB1,1
CCNF,CCNF,1
CCNG2,CCNG2,1
CD133,CD133,1
CD19,CD19,1
CD24,CD24,1
CD274,CD274,18
CD30,CD30,1
CD34,CD34,4
CD4,CD4,1
CD44,CD44,2
CD8,CD8,1
CD8A,CD8A,1
CDC2,CDC2,6
CDC25B,CDC25B,1
CDC25C,CDC25C,1
CDC37,CDC37,1
CDC42,CDC42,1
CDC6,CDC6,2
CDC73,CDC73,1
CDH1,CDH1,7
CDH13,CDH13,1
CDH2,CDH2,1
CDK,CDK,12
CDK inhibitors,CDK inhibitors,1
CDK1,CDK1,9
CDK12,CDK12,2
CDK13,CDK13,1
CDK19,CDK19,1
CDK2,CDK2,10
CDK3,CDK3,1
CDK4,CDK4,1873
CDK4/6,CDK4/6,1
CDK5,CDK5,3
CDK6,CDK6,1394
CDK7,CDK7,6
CDK8,CDK8,3
CDK9,CDK9,6
CDKN,CDKN,1
CDKN1A,CDKN1A,63
CDKN1B,CDKN1B,29
CDKN1C,CDKN1C,2
CDKN2,CDKN2,9
CDKN2A,CDKN2A,293
CDKN2A (ARF),CDKN2A (ARF),1
CDKN2A (INK4a),CDKN2A (INK4a),1
CDKN2A (p14),CDKN2A (p14),1
CDKN2A (p16),CDKN2A (p16),5
CDKN2A/B,CDKN2A/B,2
CDKN2B,CDKN2B,67
CDKN2BAS,CDKN2BAS,1
CDKN2C,CDKN2C,14
CDKN2D,CDKN2D,6
CDKN3,CDKN3,1
CDKs,CDKs,2
CDON,CDON,1
CEBPB,CEBPB,1
CETN2,CETN2,1
CFU-E,CFU-E,1
CFU-GM,CFU-GM,1
CHD1,CHD1,1
CHEK1,CHEK1,3
CHEK2,CHEK2,3
CHK1,CHK1,3
CHK2,CHK2,2
CHOP,CHOP,2
CKS2,CKS2,1
CMYC,CMYC,2
CNKSR2,CNKSR2,1
COL11A1,COL11A1,1
COMT,COMT,1
COPS3,COPS3,1
COX2,COX2,1
CPM,CPM,4
CPVL,CPVL,1
CREBBP,CREBBP,1
CSF1R,CSF1R,1
CSN5,CSN5,1
CTCF,CTCF,1
CTCFL,CTCFL,1
CTDSP2,CTDSP2,1
CTLA4,CTLA4,5
CTNNA1,CTNNA1,1
CTNNB,CTNNB,1
CTNNB1,CTNNB1,14
CTSB,CTSB,1
CUL3,CUL3,1
CXCR2,CXCR2,1
CYCS,CYCS,1
CYLD,CYLD,1
CYP11A1,CYP11A1,1
CYP17A1,CYP17A1,1
CYP19A1,CYP19A1,1
CYP1B1,CYP1B1,1
CYP24,CYP24,1
CYP3A4,CYP3A4,1
Caspase,Caspase,1
Cdc25B,Cdc25B,1
Cyclin D1,Cyclin D1,2
CyclinD1,CyclinD1,1
DAB2,DAB2,2
DAPK1,DAPK1,2
DAXX,DAXX,1
DCC,DCC,1
DCTN2,DCTN2,1
DDIT3,DDIT3,5
DDR1,DDR1,2
DDR2,DDR2,2
DDX15,DDX15,2
DES,DES,1
DIABLO,DIABLO,1
DICER1,DICER1,1
DLC1,DLC1,1
DMBT1,DMBT1,1
DMTF1,DMTF1,1
DNA repair genes,DNA repair genes,1
DNM3,DNM3,1
DNMT1,DNMT1,1
DOG1,DOG1,1
DR5,DR5,2
DRAM,DRAM,1
DTX3,DTX3,1
E2F,E2F,15
E2F1,E2F1,19
E2F2,E2F2,1
E2F3,E2F3,1
E2F4,E2F4,3
E2F5,E2F5,1
E2F7,E2F7,1
EED,EED,1
EFGR,EFGR,1
EGF,EGF,1
EGFR,EGFR,67
EGR1,EGR1,1
EIF4E,EIF4E,3
EIF4EBP1,EIF4EBP1,1
ELK1,ELK1,1
EML4,EML4,1
ENO1,ENO1,1
ENO2,ENO2,1
ENO3,ENO3,1
EP300,EP300,2
EPCAM,EPCAM,2
EPHA1,EPHA1,1
EPHB4,EPHB4,1
EPHB6,EPHB6,1
ER,ER,8
ERBB,ERBB,1
ERBB2,ERBB2,76
ERBB3,ERBB3,2
